hidden_units,dropout,learning_rate,batch_size,mean_macro_f1,std_macro_f1,fold_scores
"[512, 256]",0.2,0.001,1024,0.5969299950255643,0.026306251628439564,"[0.5833066403968108, 0.6337221904909435, 0.5737611541889387]"
"[256, 128]",0.2,0.001,1024,0.586388242543825,0.006483408611346563,"[0.5882477739083168, 0.5932339825146463, 0.5776829712085122]"
"[512, 256, 128]",0.4,0.0005,1024,0.5311308790406781,0.013229974377565956,"[0.5223423325944834, 0.5498296767776797, 0.5212206277498713]"
"[512, 256]",0.3,0.0002,1024,0.5236089216757568,0.013870847597613077,"[0.5225300263191606, 0.5411109047842744, 0.5071858339238355]"
"[256, 128, 64]",0.3,0.0005,1024,0.5189405306221838,0.005211901397893903,"[0.5119516350957349, 0.5204070782985355, 0.5244628784722812]"
"[256, 128]",0.2,0.0002,1024,0.4885877697873646,0.004983024380320126,"[0.48544203993212615, 0.48469949145366087, 0.4956217779763068]"
"[512, 256]",0.4,0.0002,1024,0.47410576212945715,0.020869132533752933,"[0.4464978030905737, 0.47887472713050894, 0.49694475616728884]"
"[256, 128]",0.3,0.0002,1024,0.4594396363211483,0.0319434746967049,"[0.5018550605441747, 0.4247680018786772, 0.45169584654059297]"
