encoder_units,latent_dim,learning_rate,val_mse,val_mae,n_params
"[128, 64, 32]",12,0.001,0.006178341340273619,0.03518732264637947,43289
"[256, 128, 64, 32]",8,0.001,0.006230818573385477,0.036698199808597565,130837
"[256, 128, 64, 32]",8,0.0005,0.007655222434550524,0.03733611851930618,130837
"[256, 128, 64, 32]",12,0.0002,0.008489107713103294,0.038450345396995544,131097
"[128, 64, 32]",6,0.0005,0.011757954023778439,0.045007530599832535,42899
"[128, 64, 32]",4,0.001,0.01425283681601286,0.04782245680689812,42769
"[256, 128, 64, 32]",4,0.0002,0.016419043764472008,0.0489838570356369,130577
"[128, 64, 32]",4,0.0005,0.017136069014668465,0.05055592209100723,42769
